Sample,Sample reference,Lithology,SiO2,Al2O3,Fe2O3t,FeOt,MgO,CaO,Na2O,K2O,TiO2,P2O5,MnO,LOI,Sum,Cr,Ni,Sc,Ba,Be,Co,Cs,Ga,Hf,Nb,Rb,Sn,Sr,Ta,Th,U,V,Zr,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Q,Or,Ab,An,Qnorm,Anorm,Pnorm
AK2091,Adadey et al. 2009,Granodiorite,69.08,16.31,3.27,2.943002943,1.29,3.62,5.08,1.15,0.36,0.13,0.039,,,16,11,5,455,,73,0.96,,3.27,2.28,37.05,0.21,710,0.15,2.52,0.44,40,151,5.46,20.13,34.57,3.83,16.2,2.4,0.77,1.83,0.23,1.01,0.16,0.41,0.07,0.42,0.06,25.824,6.796,42.986,17.11,27.85,7.33,64.82
AK5216,Adadey et al. 2009,Granite,74.24,15.25,1.47,1.323001323,0.48,0.46,3.46,4.26,0.23,0.15,0.018,,,14,6,3,382,,74,11.25,,3.02,4.28,291.16,6.51,130,0.47,11.56,3.17,17,110,4.19,39.87,74.25,9.25,40.67,5.81,0.68,3.06,0.28,0.8,0.15,0.36,0.04,0.32,0.03,36.541,25.175,29.278,1.32,39.58,27.27,33.15
GB1309,de Kock et al. 2009,Granodiorite,56.71,15.81,6.81,6.129006129,5.11,6.4,3.52,1.6,0.61,0.23,0.103,,96.89,179,73,,326,,18,2.43,,3.42,5.3,63,0.9,873,0.34,7.18,1.04,145,112,18,29.6,66.9,8.2,35,6.81,1.53,4.57,0.58,2.85,0.51,1.44,0.22,1.31,0.2,11.83,9.456,29.785,22.613,16.06,12.83,71.11
GB4214A,de Kock et al. 2009,Granite,71.17,16,1.72,1.548001548,0.47,2.78,4.92,1.35,0.21,0.07,0.025,,98.714,4,2,,476,,2,1.14,,3.05,2.5,53,0.5,717,0.23,1.83,0.89,18,111,4,12.3,27.6,3.2,13,2.5,0.65,1.47,0.19,0.75,0.13,0.31,0.06,0.38,0.05,3.933,7.978,41.632,13.335,5.88,11.93,82.19
GD1236B,de Kock et al. 2009,Monzonite,56.69,22.51,3.48,3.132003132,2.63,6.24,5.57,1.15,0.41,0.13,0.029,,98.832,70,30,,517,,12,0.55,,2.99,2,39,0.1,1736,0.09,0.35,0.32,50,122,6,6.2,14.6,2.1,9.1,1.9,1.18,1.86,0.23,1.12,0.21,0.47,0.09,0.55,0.1,2.97,6.796,47.132,3.19,4.94,11.31,83.75
GD2176,de Kock et al. 2009,Monzonite,53.71,17.83,7.39,6.651006651,6.06,7.97,3.86,1.38,0.6,0.26,0.089,,99.141,301,80,,355,,35,1.46,,2.69,3.8,38,1,1297,0.24,1.52,0.89,174,91,20,15.7,43.5,7.1,29.9,7.09,1.8,5.44,0.78,3.75,0.61,1.68,0.22,1.67,0.24,2.889,8.155,32.662,27.248,4.07,11.49,84.43
KTD127,Doumbia et al. 1998,Trondhjemite,71.3,14.4,1.61,1.449001449,0.63,2.06,5.32,2.43,0.17,0,0.03,0.61,98.56,22,20,,641,,6,1.35,,2.04,6.7,56.2,,628,0.39,3.41,0.88,,75,9.35,15.65,34.5,3.77,14.4,2.46,0.75,2.25,0.28,1.57,0.3,0.84,0.12,0.74,0.12,26.138,14.361,45.16,8.234,27.84,15.3,56.87
KTD147,Doumbia et al. 1998,Trondhjemite,69.44,14.13,3.65,3.285003285,1.16,3.16,4.5,2.96,0.49,0.27,0.05,0.71,100.52,35.2,25.2,,590,,9.4,4.85,,5.77,12,110,,398,0.71,12.55,1.79,,235,21.04,60.69,134.48,15.04,55.02,8.38,1.59,6,0.72,3.94,0.72,1.86,,1.63,0.27,25.134,17.493,38.78,9.613,27.61,19.22,53.17
KTD73,Doumbia et al. 1998,Granite,70,12.46,1.39,1.251001251,4.2,0.68,3.88,5.21,0.2,0.05,0.02,0.59,98.68,26,22,,1169,,10,0.54,,0.95,6.4,59,,259,0.56,1.49,0.64,,31,9.44,11.2,31.9,4.45,18.2,3.36,0.79,2.63,0.37,1.96,0.37,1,0.15,1,0.16,2.321,3.79,32.831,1.194,5.78,9.44,84.77
KTD4,Doumbia et al. 1998,Granodiorite,62.64,12.91,6.63,5.967005967,2.78,3.95,3.45,3.58,0.81,0.37,0.1,1.4,98.62,100,49.5,,917,,29,5.34,,5.67,11.5,136,,473,1.61,7.41,1.89,,234,37.1,50.6,115,14,58.2,11.7,2.2,10,1.47,7.86,1.47,3.81,0.57,3.58,0.52,19.43,21.157,29.193,9.166,24.61,26.8,48.59
KTD89,Doumbia et al. 1998,Granite,69.38,14.92,3.17,2.853002853,1.76,1.97,4.04,2.21,0.4,0,0.06,0.9,98.81,90,,,523,,,4.07,,1.97,6.8,80.8,,372,0.4,3.07,0.83,,75,6.46,17.49,38.51,4.58,18.57,3.49,0.92,2.65,0.28,1.38,0.23,0.59,0.08,0.53,0.09,3.585,13.6,34.185,9.774,5.86,22.24,71.89
DL378,Egal et al. 2002,Granodiorite,60.3,18.9,4.07,3.663003663,1.5,4.9,5.6,2.46,0.46,0.31,0.09,0.6,99.19,44,16,,653,,8,,,10.3,10.4,57,,680,1,49.6,2.4,56,284,14.8,57.2,103.5,11,40.2,6.7,1,4.5,0.6,3.3,0.5,1.4,0.2,1.2,0.2,7.13,14.538,47.386,19.168,8.08,16.48,75.44
DL169A,Egal et al. 2002,Granodiorite,54.6,14.4,11.65,10.48501049,4.2,6.6,3.5,1.82,1.73,0.44,0.15,0.4,99.49,86,54,,1206,,35,,,7.2,17.6,96,,617,1.4,7,0.9,166,206,18,43.5,89,10.4,42.6,7.9,2.1,6,0.8,4,0.8,2.1,0.3,1.7,0.3,1.638,1.756,29.616,18.26,3.19,3.43,93.38
ID510,Egal et al. 2002,Granodiorite,67.3,15.3,3.93,3.537003537,2.3,4.2,4,2.35,0.58,0.15,0.08,0.4,100.59,55,35,,323,,13,,,4.4,19.6,138,,339,1,26.2,1.6,54,123,13.4,29.7,59.6,6.7,25.5,5.1,1,3.8,0.5,2.8,0.5,1.4,0.2,1.2,0.2,23.69,13.888,33.847,16.852,26.84,15.73,57.43
SD4230B,Siegfried et al. 2009,Granodiorite,66.71,15.58,3.87,3.483003483,1.67,3.84,4.21,1.84,0.36,0.11,0.061,,,18,9,7,801,,4,1.99,,2.58,3.5,54,0.6,540,0.35,3.35,1.55,63,86,10,17.7,36.5,4,17.2,3.22,0.92,2.58,0.39,1.62,0.29,0.86,0.14,1.03,0.15,24.812,1.874,35.624,18.179,30.83,2.33,66.85
SB3183,Siegfried et al. 2009,Granite,71.41,15.51,2.33,2.097002097,0.72,2.21,4.38,2.71,0.33,0.11,0.035,,,20,4,2,973,,0,2.92,,4.6,5.3,103,1.4,577,0.51,10.28,1.75,28,175,6,34.7,68.6,7.4,29.7,4.37,1.15,2.75,0.33,1.22,0.2,0.4,0.06,0.44,0.07,3.7,16.15,37.62,1.246,6.3,27.51,66.19
