Sample,group,marker,color,Ca,Mg,Na,K,HCO3,CO3,Cl,SO4
A,G1,o,#f54242,69.10,10.60,323.50,23.80,66,0.0,356.30,435.20
B,G1,o,#f54242,38.50,64.90,66.40,2.30,40,0.0,187.20,184.40
C,G1,o,#f54242,31.30,13.90,200.60,48.80,93,0.0,175.50,308.30
D,G1,o,#f54242,31.90,21.50,188.90,49.10,117,0.0,211.60,276.70
E,G1,o,#f54242,52.90,65.60,114.40,36.40,187,0.0,234.00,221.90
F,G1,o,#f54242,40.90,8.00,353.20,30.90,92,0.0,382.90,337.20
G,G1,o,#f54242,42.10,10.20,311.20,52.90,86,0.0,340.30,368.90
H,G1,o,#f54242,21.70,30.70,108.20,1.70,242,0.0,55.30,115.30
I,G2,d,#4b42f5,87.80,60.40,71.60,16.60,244,0.0,141.80,232.90
j,G2,d,#4b42f5,63.90,25.50,74.00,3.10,275,0.0,60.30,110.90
J,G2,d,#4b42f5,73.30,37.30,140.50,7.10,290,0.0,131.20,215.20
K,G2,d,#4b42f5,43.10,37.10,120.40,6.80,330,0.0,40.80,192.10
L,G2,d,#4b42f5,170.30,23.70,127.50,15.40,241,0.0,191.40,316.00
M,G2,d,#4b42f5,51.10,51.70,199.80,24.40,262,0.0,234.70,230.50
N,G2,d,#4b42f5,30.60,35.90,297.90,2.30,75,0.0,372.30,215.00
O,G2,d,#4b42f5,46.10,34.00,123.00,17.00,394,0.0,47.90,153.70
