alias,reservoir,reference,color,Li,Be,B,C,N,F,Na,Mg,Al,Si,P,S,Cl,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,SiO2,TiO2,Al2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5
CI,CI carbonaceous chondrite (McDonough and Sun 1995),McDonough and Sun 1995,#676767,1.5,0.025,0.9,35000,3180,60,5100,96500,8600,106500,1080,54000,680,550,9250,5.92,440,56,2650,1920,181000,500,10500,120,310,9.2,31,1.85,21,3.57,2.3,7.25,1.57,3.82,0.24,0.9,0.71,0.13,0.55,0.2,0.71,0.08,1.65,0.14,2.33,0.45,0.19,2.41,0.237,0.613,0.0928,0.457,0.148,0.0563,0.199,0.0361,0.246,0.0546,0.16,0.0247,0.161,0.0246,0.103,0.0136,0.093,0.04,0.49,0.455,1.01,0.14,0.3,0.14,2.47,0.11,0.029,0.0074,,,,,,,,,,
PYRO,Silicate Earth - Pyrolite (McDonough and Sun 1995),McDonough and Sun 1995,#f97306,1.6,0.068,0.3,120,2,25,2670,228000,23500,210000,90,250,17,240,25300,16.2,1205,82,2625,1045,62600,105,1960,30,55,4,1.1,0.05,0.075,0.05,0.6,19.9,4.3,10.5,0.685,0.05,0.005,0.0009,0.0039,0.008,0.04,0.011,0.13,0.0055,0.012,0.01,0.021,6.6,0.648,1.675,0.254,1.25,0.406,0.154,0.544,0.099,0.674,0.149,0.438,0.068,0.441,0.0675,0.283,0.037,0.029,0.00028,0.0034,0.0032,0.0071,0.001,0.01,0.0035,0.15,0.0025,0.0795,0.0203,,,,,,,,,,
PM,Primitive mantle (Sun and McDonough 1989),Sun and McDonough 1989,#00a40b,1.6,,,,,,,,,,95,,,250,,,1300,,,,,,,,,,,,,,0.635,21.1,4.55,11.2,0.713,0.063,,,,,,,0.17,0.005,,,0.0079,6.989,0.687,1.775,0.276,1.354,0.444,0.168,0.596,0.108,0.737,0.164,0.48,0.074,0.493,0.074,0.309,0.041,0.02,,,,,,,0.005,0.071,,0.085,0.021,,,,,,,,,,
NMORB,N-type MORB (Sun and McDonough 1989),Sun and McDonough 1989,#4f894f,4.3,,,,,,,,,,510,,,600,,,7600,,,,,,,,,,,,,,0.56,90,28,74,2.33,0.31,,,,,,,1.1,0.01,,,0.007,6.3,2.5,7.5,1.32,7.3,2.63,1.02,3.68,0.67,4.55,1.01,2.97,0.456,3.05,0.455,2.05,0.132,0.01,,,,,,,0.0014,0.3,,0.12,0.047,,,,,,,,,,
EMORB,E-type MORB (Sun and McDonough 1989),Sun and McDonough 1989,#9f999f,3.5,,,,,,,,,,620,,,2100,,,6000,,,,,,,,,,,,,,5.04,155,22,73,8.3,0.47,,,,,,,0.8,0.01,,,0.063,57,6.3,15,2.05,9,2.6,0.91,2.97,0.53,3.55,0.79,2.31,0.356,2.37,0.354,2.03,0.47,0.092,,,,,,,0.013,0.6,,0.6,0.18,,,,,,,,,,
OIB,Ocean Island Basalts (Sun and McDonough 1989),Sun and McDonough 1989,#029386,5.6,,,,,,,,,,2700,,,12000,,,17200,,,,,,,,,,,,,,31,660,29,280,48,2.4,,,,,,,2.7,0.03,,,0.387,350,37,80,9.7,38.5,10,3,7.62,1.05,5.6,1.06,2.62,0.35,2.16,0.3,7.8,2.7,0.56,,,,,,,0.077,3.2,,4,1.02,,,,,,,,,,
ATTG,Archean Tonalite-trondhjemite-granodiorite (Moyen and Martin 2012),Moyen and Martin 2012,#db3a3a,,,,,,,,,,,,,,,,,,56.56,98.94,,,,50.02,,,,,,,,83.98,455.56,15.82,162.61,8.4,,,,,,,,,,,,,717.29,37.59,72.39,,29.87,5.07,1.2,4.42,,3.48,,1.68,,1.37,0.23,4.73,0.9,,,,,,,,,,,10.93,1.96,,,,,,,,,,
UCRUST,Upper continental crust (Rudnick and Gao 2003),Rudnick and Gao 2003,#994275,24,2.1,17,,83,557,24260.13,14954.4,81512.2,311288.4,654.6,621,370,23242.8,25657.73,14,3836.16,97,92,774.5,39175.92,17.3,47,28,67,17.5,1.4,4.8,0.09,1.6,84,320,21,193,12,1.1,0.00034,,0.00052,0.053,0.09,0.056,2.1,0.4,,1.4,4.9,628,31,63,7.1,27,4.7,1,4,0.7,3.9,0.83,2.3,0.3,2,0.31,5.3,0.9,1.9,0.000198,3.1E-05,2.2E-05,0.0005,0.0015,0.05,0.9,17,0.16,10.5,2.7,66.6,0.64,15.4,5.04,0.1,2.48,3.59,3.27,2.8,0.15
MCRUST,Middle continental crust (Rudnick and Gao 2003),Rudnick and Gao 2003,#829955,12,2.3,17,,,524,25150.41,21647.7,79395,296799,654.6,249,182,19092.3,37521.75,19,4135.86,107,76,774.5,46793.46,22,33.5,26,69.5,17.5,1.1,3.1,0.064,,65,282,20,149,10,0.6,,,0.00076,0.048,0.061,,1.3,0.28,,,2.2,532,24,53,5.8,25,4.6,1.4,4,0.7,3.8,0.82,2.3,0.32,2.2,0.4,4.4,0.6,0.6,,,,0.00085,0.00066,0.0079,0.27,15.2,0.17,6.5,1.3,63.5,0.69,15,6.02,0.1,3.59,5.25,3.39,2.3,0.15
LCRUST,Lower continental crust (Rudnick and Gao 2003),Rudnick and Gao 2003,#245899,13,1.4,2,,34,570,19660.35,43657.2,89451.7,249591.6,436.4,345,250,5063.61,68539.73,31,4915.08,196,215,774.5,66614.61,38,88,26,78,13,1.3,0.2,0.2,0.3,11,348,16,68,5,0.6,0.00075,,0.0028,0.065,0.1,0.05,1.7,0.1,,0.14,0.3,259,8,20,2.4,11,2.8,1.1,3.1,0.48,3.1,0.68,1.9,0.24,1.5,0.25,1.9,0.6,0.6,0.00018,5E-05,5E-05,0.0027,0.0016,0.014,0.32,4,0.2,1.2,0.2,53.4,0.82,16.9,8.57,0.1,7.24,9.59,2.65,0.61,0.1
